Publication Type,Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Coppola, NW; Elliot, N","Coppola, Nancy W.; Elliot, Norbert",,,"Conceptualizing the Technical Communication Body of Knowledge: Context, Metaphor, and Direction",TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The Technical Communication Body of Knowledge (TCBOK) is a landmark effort in our profession. To support next-generation development efforts, a framework is proposed that will benefit the profession: integration with national efforts to develop knowledge taxonomies; conceptualization through metaphor; and application through imagined user groups (personas) and the communication tasks (genres) they commonly perform. Method: As an instrumental case study, the TCBOK can be understood and expanded through the complementary metaphors of relation and trading zones. Both metaphors are examined through a scenario of use for two personas. Results: While presently designed as taxonomy of knowledge, the TCBOK might be expanded through an ecological framework that embraces complexity of design and use. Conclusions: Three recommendations are provided that may help provide direction for TCBOK development: (1) Continue the use of persona as a key strategy for information development, but add high-quality genre models of best practice; (2) Expand attention from focus on cognitive competency domains to include intrapersonal and interpersonal domains; (3) Consider the knowledge portal as an opportunity to expand on other current efforts to articulate knowledge taxonomies.",,,,,,,,,,,43,5,5,,,,,,,,,,,NOV,2013,60,4,,,,,267,278,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Jennings, A","Jennings, Ann",,,Technical Communication Practitioner-Student Interaction: An Opportunity for Students to Learn from the Practitioners' World of Work,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This article informs practitioners of the types of interactions that their peers prefer to have with technical communication students and of ways that those interactions can be arranged to the benefit of all parties. Method: I conducted a survey of STC members regarding interactions between practitioners and students. A total of 480 practitioners responded. I analyzed and presented the responses. Results: Practitioners are interested in and experienced at interacting with students in both company-sponsored activities, such as internships, and personally initiated activities, such as mentoring and part-time teaching. Practitioners acknowledge that students and employers benefit from these and other kinds of activities. Conclusion: Practitioners can interact with students in ways that help the students and that honor the interests and time constraints of the practitioners. Practitioners and academics can initiate activities that bring practitioners and technical communication students together.",,,,,,,,,,,32,2,2,,,,,,,,,,,NOV,2012,59,4,,,,,324,333,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Albers, MJ; Marsella, JF","Albers, Michael J.; Marsella, John F.",,,An Analysis of Student Comments in Comprehensive Editing,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: A substantial skill in comprehensive editing is the ability to write constructive comments to the author. This study provides a view into how students make comments during a comprehensive edit of a technical document. Method: Undergraduate technical editing students performed a comprehensive edit of a report. Data were derived from the editorial comments students made during the edit. Comments were coded for level of the comment (global, paragraph, or sentence), phrasing of the comment, and quality of the comment. A total of 132 comments were coded. Results: Both effective and ineffective commenting habits were observed. Students were found to make a high percentage of paragraph-level comments and a low percentage of global and sentence-level comments. Most of the comments were rated as useful to an author. Looking at specific problem areas, most students missed commenting on four major problems within the text. The students seemed to be using a linear editing style of simply moving through the document from beginning to end, rather than using a top-down editing style or multiple passes. Conclusions: When given instructions to perform a comprehensive edit, most students made comments that addressed global and paragraph-level issues, rather than sentence-level or copyediting issues. However, the overall quality and usefulness of the comments varied widely. As part of improving both writing and editing skills, technical communication pedagogy needs to focus more on overall document structure and how to structure sections within a document.",,,,,,,,,,,27,1,1,,,,,,,,,,,FEB,2011,58,1,,,,,52,67,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Yeats, D","Yeats, Dave",,,The role of the technical communicator in open-source software development,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,,,,,,,,,,,,25,3,3,,,,,,,,,,,FEB,2008,55,1,,,,,38,48,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Willerton, R","Willerton, Russell",,,Writing white papers in high-tech industries: Perspectives from the field,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Argues that white papers are increasingly prevalent but have received little discussion in technical communication forums Reports research on their audiences, purposes, content, the people and processes creating them, and the ways in which they are evaluated.",,,,,,,,,,,20,10,10,,,,,,,,,,,MAY,2007,54,2,,,,,187,200,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Van den Haak, MJ; De Jong, MDT; Schellens, PJ","Van den Haak, Maaike J.; De Jong, Menno D. T.; Schellens, Peter Jan",,,Evaluation of an informational web site: Three variants of the think-aloud method compared,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Questions the assumption that usability methods are equally suitable for evaluating Web sites and Web applications Concludes that the decision to choose one variant of the think-aloud method over should be based on practical considerations.,,,,,,,,,,,22,49,49,,,,,,,,,,,FEB,2007,54,1,,,,,58,71,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Munger, R","Munger, Roger",,,Participating in a technical communication internship,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Describes effective practices for interns, internship coordinators, and supervisors. Provides resources such as checklists, questions, and sample documents for successfully participating in a technical communication internship.",,,,,,,,,,,41,9,9,,,,,,,,,,,AUG,2006,53,3,,,,,326,338,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"St Germaine-Madison, N","St Germaine-Madison, Nicole",,,"Instructions, visuals, and the English-speaking bias of technical communication",TECHNICAL COMMUNICATION,,,,Article,,,,,,,,center dot Assesses the availability and quality of Spanish I translations in user manuals written in the U.S. center dot Discusses why we need culturally-appropriate Spanish translations and how technical communicators can make translations more culturally appropriate.,,,,,,,,,,,80,2,2,,,,,,,,,,,MAY,2006,53,2,,,,,184,194,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Bayer, NL; Pappas, L","Bayer, NL; Pappas, L",,,Accessibility testing: Case history of blind testers of enterprise software,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Presents an accessibility test of enterprise software with users who are blind Describes the design, method, and findings of the test Offers recommendations for successful accessibility testing that yields rich results.",,,,,,,,,,,18,5,5,,,,,,,,,,,FEB,2006,53,1,,,,,32,38,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Southwell, BG; Blake, SH; Torres, A","Southwell, BG; Blake, SH; Torres, A",,,Lessons on focus group methodology from a science television news project,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Highlights guidelines for focus group implementation and caveats for interpreting data from such efforts Discusses a formative evaluation undertaken for a television news project to understand how some people respond to science news stories.,,,,,,,,,,,16,5,5,,,,,,,,,,,MAY,2005,52,2,,,,,187,193,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Carlson, EB; Caretta, MA","Carlson, Erin Brock; Caretta, Martina Angela",,,Legitimizing Situated Knowledge in Rural Communities Through Storytelling Around Gas Pipelines and Environmental Risk,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The aim of this article is to demonstrate that rural landowners and community members' place-based, situated knowledge is expertise that should be taken into account by TPC professionals involved with technological or environmental development (e.g., in the energy sector). Method: This paper is grounded in the stories of 31 residents of rural West Virginia who share concerns about ongoing natural gas pipeline development. Through visual and place-based storytelling methods, walk-along interviews (Carpiano, 2009) and photovoice (Sullivan, 2017), a rich collection of stories and photographs that reveal the often-undocumented effects of pipeline development were gathered. Results: The stories of residents living in close proximity to natural gas pipelines reveal two main types of knowledge circulating in conversations about energy development: knowledge rooted in more traditional forms of epistemic authority, such as legal definitions and technical accounts of land; and situated knowledge derived from lived experiences of people directly impacted by technological and environmental changes. Conclusion: Ultimately, we argue that to embrace stories told by rural residents is to center the experiences of communities, which, in turn, legitimizes situated knowledge resulting from first-hand experience. This demonstrates that expertise can be located in spaces outside of corporate, technical, or academic knowledge, and encourages technical communicators to seek out that expertise in their own work.",,,,,,,,,,,56,5,5,,,,,,,,,,,NOV,2021,68,4,,,,,40,55,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Itchuaqiyaq, CU; Ranade, N; Walton, R","Itchuaqiyaq, Cana Uluak; Ranade, Nupoor; Walton, Rebecca",,,Theory-to-Query: Developing a Corpus-Analysis Method Using Computer and Human Analysis,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This case history reports on the process of developing a method to identify, extract, and clean string citation data from a corpus of articles to assist future studies on research methods, especially those relating citation metrics to diversity and inclusion efforts in technical communication. Method: We developed a theory-to-query method that uses a theoretical framework, computer logic, and collaborative research design to create a custom computer program to extract data from a large corpus of text. This research method uses an iterative approach involving both human and computer analysis to complete the necessary tasks. Results: Although we successfully created a custom computer program to parse citations, both human and computer analysis were needed to effectively extract data from the corpus. The allocation of labor (human vs. computer) was driven by the limitations of the data as well as by the limitations of human and computer abilities, rather than the type of task (e.g., repetitive, requiring pattern recognition). Conclusion: Interdisciplinary partners should use a framework to communicate effectively in their design process to better refine a project's scope, overcome unexpected limitations, and troubleshoot. Theory-to-query is a method that combines theoretical frameworks, computer logic, and collaborative research design to create custom programs that aid analysis, such as designing a program for extracting citations from a corpus of journal articles. However, even with detailed plans and clear communication, design processes require iteration and creativity as new limitations for both human and computer analysis are identified.",,,,,,,,,,,46,2,2,,,,,,,,,,,AUG,2021,68,3,,,,,7,28,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Farkas, DK","Farkas, David K.",,,A Scheme for Understanding and Writing Summaries,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Writing a summary is not necessarily a straightforward task. Presented here is a scheme of twelve descriptors that reveals much of the complexity of summaries. The scheme can also serve as a design heuristic. Method: The scheme draws upon the psychology of text processing and applied linguistics, and derives theoretically from the intertextual relationship between the summary and the summarized text and the contrast between summary as microcosm (miniature of the summarized text) and the many ways in which summaries are not microcosmic. Results: The scheme consists of these twelve descriptors. The Purpose of the summary. The possibility of a Specification constraint that complicates the writing of the summary. Reduction, the length of a summary as a ratio of the summarized text. The Phrasing-informative or descriptive-of the summary. Proportion and Exclusion, how fully each part of the text is represented in the summary. Structure, how the ideas in the summary are arranged in relation to the text. Placement, where in relation to the text (before, after, within, alongside, or independent of) a summary (or multiple summaries) appears. Addition, the possibility of adding content not in the text to the summary. Authorship, whether the author of the text (or an associate) or someone not associated with the text wrote the summary. The Stance, Style, and Format of a summary. Conclusion: The scheme advances our understanding of summaries and, especially when used as a heuristic, can help technical communicators in their work. It may also be the basis of further research.",,,,,,,,,,,48,0,0,,,,,,,,,,,AUG,2020,67,3,,,,,45,60,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Karabinus, A; Atherton, R","Karabinus, Alisha; Atherton, Rachel",,,Communally Designed Deception: Participatory Technical Communication Practices in an Amateur Game Design Community,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: As it is often difficult to study professional game design practices from a technical communication perspective, this exploratory study seeks to discover accessible alternatives in amateur communities engaged in participatory design. Methods: Using an exploratory, mixed methods single-case study model, we analyzed discourse and technical communication practices in a community focused on designing and playing social deception games across a network of digital platforms, with an eye toward how administrators, designers, and players negotiated design challenges. Results: The amateur game design community observed here participates in professional design practices that can be mapped onto Eyman's (2008) framework for technical communication in games. Communities such as the subject-participants in this study produce unique documentation tracing design processes in ways some professional studios do not (Sansone, 2014) and foreground user experience considerations in observable, archived discussions. Conclusion: Amateur game design communities are as interested in maintaining strong user experiences and balanced gameplay as professional studios, as indicated by this study, and may use similar tactics to achieve results. The comparisons allowed construction of a framework for comparing amateur and professional designs in terms of tech comm practices. For technical communicators who must understand and account for world-making processes, demonstrating how amateur practice may compare to professional practice opens up new potential sites of study in the service of constructing game design ecologies.",,,,,,,,,,,32,4,4,,,,,,,,,,,AUG,2019,66,3,,,,,257,271,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Wittenbrink, H; Pauschenwein, J","Wittenbrink, Heinz; Pauschenwein, Jutta",,,Content Strategy as Practical Knowledge,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: In 2014, a master's program in Content Strategy for professionals began at the Joanneum University of Applied Sciences in Graz. This is the first and, so far, the only master's program of this kind. Method: In this article, we present the master's program as a case study. We are dealing with the understanding of the concept of content conveyed in the degree program and with the didactic (pedagogical) approach. We analyze how our initial approach has proven its worth in practice and how we modified it. We interpret selected results of our experiences (e.g., the way to supervise the master theses). Results: We discuss these experiences based on the concepts of reflective practitioner (as introduced by Donald Schon) and community of practice (as introduced by Etienne Wenger). We investigate the relationships between implicit and explicit practical knowledge and the possibilities of teaching this knowledge to other practitioners. Conclusion: Content strategy can be taught and conceived as a reflective practice which is integrated into communities of practice.",,,,,,,,,,,16,0,0,,,,,,,,,,,MAY,2019,66,2,,,,,177,185,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Baehr, C","Baehr, Craig",,,Complexities in Hybridization: Professional Identities and Relationships in Technical Communication,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This article provides a snapshot of how industry leaders currently conceptualize our identities and relationships, as well as some of the challenges we continue to face as a profession. Method: This study used a modified Delphi method. To gather data, we used two sets of survey questions and two structured interviews. Results: Technical communicators are functioning as agile, adaptable, and multi-specialists in a broad range of organizational functions. They have become increasingly visible and valuable assets throughout a project lifecycle, and in many cases are able to define their own roles, which include team leadership and management responsibilities. Conclusion: Technical communicators continue to serve in core functional responsibilities in a wide range of industries.",,,,,,,,,,,14,20,20,,,,,,,,,,,MAY,2015,62,2,,,,,104,117,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Pflugfelder, EH","Pflugfelder, Ehren Helmut",,,The Minimalist Approach to Online Instructional Videos,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The instructional project described in this article explores a model for re-conceptualizing a form of short video instruction manual termed here as the Web app video. The goal is to determine whether explicit instruction in minimalism can help students (and practitioners) apply such principles and heuristics to the genre of Web app videos and aid in invention within emergent documentation scenarios. Method: An instructional method was used in this study, specifically the introduction of minimalist documentation concepts and heuristics to instructional video production. This study compares assessment rubrics completed by students as pre- and post-test assessment data, though the success of the instructional method is not dependent upon these results. Results: After working with minimalism heuristics, student-produced videos showed greater attention to imperative mood language, task-orientation, and error representation than existing videos for Web applications. Though student-produced videos lacked production polish, they showed evidence of minimalist strategies. Conclusions: Minimalist documentation strategies can be successfully taught and applied to short videos designed to entertain, encourage, inform, and instruct potential users while enabling them to engage the Web application with more knowledge.",,,,,,,,,,,28,8,8,,,,,,,,,,,MAY,2013,60,2,,,,,131,146,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Kline, J; Barker, T","Kline, Joel; Barker, Thomas",,,Negotiating Professional Consciousness in Technical Communication: A Community of Practice Approach,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To examine the elements of professional consciousness in technical communication to facilitate the growth of professional identity. Method: To develop a structured collaboration model based on Wenger's three dimensions for establishing a community of practice: joint enterprise, mutual engagement, and shared repertoire. Results: Structured collaboration shows strong potential to nurture a community in which the specific professional identity of being an academic or a practitioner is minimized in favor of the negotiated identity of being a community member working toward mutual goals. Conclusions: Effective collaboration between the academic and practitioner communities creates a negotiated professionalism through better research, better education, and a more comprehensive body of knowledge. Structured collaboration along the lines of community of practice can be used to encourage professional consciousness, which can lead to professional status.",,,,,,,,,,,38,0,0,,,,,,,,,,,NOV,2011,58,4,,,,,14,30,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Lee, CC","Lee, Chien-Ching",,,Specific Guidelines for Creating Effective Visual Arguments in Technical Handouts,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This paper analyzes the PowerPoint handouts of 22 engineering undergraduate students to establish criteria for judging the persuasive capabilities of the students' visual argument in handouts that are expanded versions of PowerPoint slides used for presentations. Specific guidelines on how to create effective visual arguments that are useful as slides meant for presentations cannot be used as handouts. Method: The criteria were derived primarily from Doumont's (2002) three laws of professional communication that suggest how to combine rhetorical and visual elements to form coherent arguments. Results: The results show that Doumont's laws are helpful in judging the persuasiveness of the students' visual arguments. In addition, the weaknesses in the students' visual arguments applied to all three laws, which is in line with Doumont's view that the laws have an order of precedence. Conclusion: The guidelines in this paper can help practitioners convert their slides into handouts more effectively and encourage teachers to spend more time teaching visual argument in the classroom.",,,,,,,,,,,27,1,1,,,,,,,,,,,JUN,2011,58,2,,,,,135,148,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Dayton, D; Hopper, K","Dayton, David; Hopper, Keith",,,Single Sourcing and Content Management: A Survey of STC Members,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To gather reliable empirical data on (1) STC members' use of and attitudes toward single sourcing and/or content management (SS/CM) methods and tools; (2) factors perceived to be driving or impeding adoption of this technology; (3) transition experiences of adopting work groups; (4) perceived impacts of SS/CM methods and tools on efficiency, usability, customer focus, and job stress. Method: Cross-sectional sample survey of 1,000 STC members conducted in May 2008; multiple survey contacts by email with link to online survey instrument. Results: Of 276 respondents, half reported using SS/CM methods and tools. About 1 in 10 respondents reported experience with a failed implementation of SS/CM; half the SS/CM users reported significant downsides or tradeoffs. Perceived top drivers of SS/CM adoption were faster development, lower costs, regulatory and compliance pressures, and translation needs. About 1 in 9 respondents used Darwin Information Typing Architecture (DITA). Large company size made use of SS/CM significantly more likely, and work groups using single sourcing with content management were significantly larger than work groups of other SS/CM subgroups and non-users of SS/CM. Single sourcing without content management seems destined to achieve a larger proportion of adopters than single sourcing with content management, barring a technology breakthrough. Among all respondents, Microsoft Word and FrameMaker were the most-used primary authoring tools. Conclusions: With regard to these methods and tools, STC members appear to be in the Early Majority phase of Everett M. Rogers's innovation adoption curve. Diffusion of these methods and tools appeared to have been steady in the five years prior to the survey, with no dramatic increase in more recent pace of adoption.",,,,,,,,,,,27,14,14,,,,,,,,,,,NOV,2010,57,4,,,,,375,397,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Yu, H","Yu, Han",,,Putting China's Technical Communication into Historical Context: A Look at the Chinese Culinary Instruction Genre,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Examines the Chinese culinary instruction genre Analyzes culinary texts produced from 500 BC to the present Argues for a historicized and contextualized understanding of technical communication in China,,,,,,,,,,,24,6,6,,,,,,,,,,,MAY,2009,56,2,,,,,99,110,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Joswiak, R; Duncan, M","Joswiak, Regan; Duncan, Mike",,,Inform or Persuade? An Analysis of Technical Communication Textbooks,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: We examined how 10 best-selling technical communication textbooks delineated informative and persuasive purposes in discourse and, in response, suggest a more effective pedagogical alternative to this typical division that instead consistently emphasizes the rhetorical nature of all communication. Method: We conducted a semantic analysis of 10 best-selling technical communication textbooks and present findings regarding the appearance of terms related to informative and persuasive concepts in three types of documents or genres: general discussions, reports, and presentations. To demonstrate the problematic findings in these books, we also examine and summarize recent literature in rhetoric and technical communication. Results: Overall, a delineation of some sort between informative and persuasive communication was typically present, which-as literature in rhetoric and technical communication shows-contradicts practitioners' roles as persuasive communicators. While some of the examined textbooks emphasized persuasion in their general discussions, this emphasis became inconsistent when they discussed oral presentations, and the genre of report-writing in particular lacked discussion about its persuasive elements. Conclusion: We recommend a more complex, rhetorical, and consistent understanding of discourse that rejects an artificial divide between informative and persuasive in future technical communication textbooks and editions, especially in regard to all workplace communication.",,,,,,,,,,,48,2,2,,,,,,,,,,,MAY,2020,67,2,,,,,29,41,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Nugent, J","Nugent, Jim",,,"Bitcoin, Blockchain, and Ballots: Technical Communication and Trust in Electoral Systems",TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: In light of widening, popular distrust of electoral systems, the question of how to improve confidence in voting has become especially timely and important. Complicating the issue are emerging technologies that threaten to blackbox and obscure the function of voting systems. In addition to discussing the longstanding issue of trust in voting technology, this article provides a review of useful macro-scale concepts for practitioners to consider when working on projects related to electoral systems. Method: After providing a synthesis and overview of the broad principles of electoral integrity, I overview blockchain (the technology underlying Bitcoin), discuss its possible application to voting systems, and consider its implications for the broader goal of fostering voter trust and legitimacy. Results: Technologies such as blockchain have the potential to not only change the mechanics of voting but to change the very definitions of transparent and trustworthy as applied to election systems. Conclusion: Trust in elections systems is ultimately a rhetorical, rather than technical, effect. As technical communicators are increasingly called upon to unblackbox election technologies, they must remain attentive to the potentially shifting values that define trustworthiness for the electorate at certain historical moments.",,,,,,,,,,,41,1,1,,,,,,,,,,,NOV,2018,65,4,,,,,411,421,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Hannah, MA; Lam, C","Hannah, Mark A.; Lam, Chris",,,Patterns of Dissemination: Examining and Documenting Practitioner Knowledge Sharing Practices on Blogs,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To empirically examine and document knowledge sharing patterns that practitioners employ in blog conversations about research and work experiences. Method: We conducted an empirical analysis of 235 blog posts from June 2014 to March 2016. We analyzed and coded each post for 14 unique variables including article type, topic, and citation style. We then analyzed the data using both descriptive and inferential statistics in order to reveal patterns in the data. Results: An overwhelming majority of the blog posts were written by practitioners for practitioners. Of the 235 blog posts, the most common topics were technology, professionalization, and communication strategies. Of the technology posts written, DITA was by far the most common technology topic. The most common article types were argumentative, process, and how-to articles. While practitioners rarely blog about research, when they do, they spend most of their time writing about results and discussion as opposed to introductions or methodology. Finally, our analysis revealed that bloggers made intentional visual design choices when sharing knowledge via blogs. Conclusion: Practitioners use distinct knowledge dissemination patterns in blog conversations that shape how research is presented to the technical communication community. Understanding these patterns is an important first step toward developing a shared language that will help bridge the gap in understanding between the academic and practitioner communities. Ultimately, blogs are a useful forum for studying practitioner conversations and developing broader understanding about what they value in their work and research.",,,,,,,,,,,49,11,11,,,,,,,,,,,NOV,2016,63,4,,,,,328,345,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Santos-Espino, JM; Afonso-Suarez, MD; Guerra-Artal, C","Miguel Santos-Espino, Jose; Dolores Afonso-Suarez, Maria; Guerra-Artal, Cayetano",,,Speakers and Boards: A Survey of Instructional Video Styles in MOOCs,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This paper offers an account of the current usage of communication styles and features in MOOC instructional videos. The aim of the study is to provide a better understanding of instructional video patterns and typologies and to find associations between video style usage and course attributes such as the MOOC platform and course subjects. Method: Five global, generalist MOOC platforms were selected for this study, which was conducted in two phases: First, a qualitative survey was made to identify frequently used video styles and build a classification scheme. Second, a sample of 115 courses in the selected MOOC platforms was used to account for video features and style frequencies. Various statistical tests were performed to discover associations between course characteristics and video style usage. Results: Seven video styles were identified as the most frequent in MOOC courses. They fully describe the video stock of 85% of the sampled courses. A typical course uses two different styles. The study reveals two broad competing approaches to display instructional contents in MOOC videos: speaker-centric (a visible person speaks the contents) and board-centric (a large rectangular surface displays the contents). The actual usage of each approach is significantly related to the course subject area: Arts and humanities courses exhibit a preference for speaker-centric styles, while engineering and hard science courses favor board-centric videos. Social sciences and health courses are more neutral. Conclusion: Current MOOCs are focused on few representational styles, with speakers and boards as the two main models. The observed usage is consistent with a strong attachment to the lecture as an instructional technique.",,,,,,,,,,,27,15,15,,,,,,,,,,,MAY,2016,63,2,,,,,101,115,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Gonzales, L; Zantjer, R","Gonzales, Laura; Zantjer, Rebecca",,,Translation as a User-Localization Practice,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This article presents translation as a user-localized activity. Using Sun's (2012) distinction between user and practitioner localization, the researchers present a preliminary illustration of how translation is enacted by multilingual participants aiming to translate words from their heritage languages into English. Method: As part of this pilot study, ten, ten-minute interviews were conducted, video-recorded, and coded to better understand how multilingual users adapt information from their heritage languages into English. Results: Results suggest that users employ several strategies when translating in context: acting, comparing/contrasting, deconstructing, gesturing, intonation, negotiating, sketching, and storytelling. These strategies involve the use of both words and other semiotic resources (for example, gestures, intonation) to convey meaning across languages. Conclusion: Technical communication researchers and practitioners could develop more effective translation and localization frameworks by learning from the user-localized translation practices of multilinguals. Analyzing the translation practices of multilinguals who are not professional translators or interpreters could provide a framework for technical communicators to better recognize the complexities of writing in English for international audiences.",,,,,,,,,,,13,19,19,,,,,,,,,,,NOV,2015,62,4,,,,,271,284,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Magolis, D; Homishak, M","Magolis, David; Homishak, Michael",,,Technically Speaking: Preservice Teachers' Perspectives and Attitudes on the Use of Technology,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Computer-based presentations are the expected form of instruction in education; however, little knowledge exists about perspectives and attitudes on the use of technology and technical communication in the classroom through preservice teachers' experiences. Therefore, the focus in our explorative study is to understand these perspectives and attitudes to aid in the development of technology and technical communication curriculums for preservice teachers. Method: A phenomenological research approach was used to interview ten preservice teachers to explore the question, what is the nature of preservice teachers' experiences with technology and technical communication in the classroom? Results: Preservice teachers' educational experiences with technology and technical communication show a strong preference for using Microsoft PowerPoint to convey course content. However, a major theme from their perspectives and attitudes was negative toward formal PowerPoint communication training. Furthermore, participants stressed the over reliance on PowerPoint in the classroom; they desired more creativity and better ways of communicating course content. Conclusion: This study provides evidence worthy of serious reflection on the reality that there is a significant issue in teacher education curriculum today and the ineffective use and instruction of technology and technical communication in educational settings.",,,,,,,,,,,45,0,0,,,,,,,,,,,NOV,2014,61,4,,,,,257,268,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Carliner, S","Carliner, Saul",,,Using Business Models to Describe Technical Communication Groups,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: According to the management literature, a business model explains how an organization makes money (generates revenue). These models not only affect revenue but, because generating revenue is central to the survival of an organization, affects all other operations. Method: Applies the theory of business models from the management literature to technical communication groups, using descriptions of technical communication groups from empirical studies to identify the most common business models for these groups and suggests how the source of revenue affects operations. Results: Technical communication groups typically fall into one of these models: (a) Venture Capital Model-groups that produce content published for sale; (b) Design Model-groups that design the architecture and oversee implementation of Web sites, large information campaigns, user interfaces, and designed-in information; (c) Agency Model-groups that produce marketing communication, employee communication, and other high profile content; (d) Development Shop Model-groups that support a strategic effort by developing help, user's guides, reference manuals, and similar product information; (e) Technical Support Model-groups that produce materials for internal users; and (f) Contractor Model-groups that update documentation for products and services have long life cycles (often lasting for decades). Although the literature on technical communication advocates for the Design model, most technical communication groups operate under the Development Shop, Technical Support, and Contracting Models, as well as mixed models. Conclusions: This theory does not prescribe actions technical communication groups should take to change their status; rather it describes why technical communication groups in different organizations might have different experiences.",,,,,,,,,,,58,5,5,,,,,,,,,,,MAY,2012,59,2,,,,,124,147,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Padmanabhan, P","Padmanabhan, Poornima",,,Goal-based Scenarios: An Approach to Online Instruction and Training,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Discusses the potential of goal-based scenarios as an approach to designing online learning environments Explores practical applications of goal-based scenarios for online training Presents a procedural approach to designing a goal-based scenario,,,,,,,,,,,18,0,0,,,,,,,,,,,MAY,2009,56,2,,,,,132,136,,,,,,,,,,,,,,,,,View Full Record in Web of Science
